frame_index,timestep,tic1,tic2
0,0,1.760721858219401,0.5258761255834338
1,50,1.8071979554302426,0.3505345372179603
2,100,2.012723827916583,0.3291848554206582
3,150,2.542859967713316,0.7929673937459504
4,200,2.5786634715555397,0.7980306482497505
5,250,2.7268278409914437,0.6700587362183644
6,300,2.642696495099684,0.7351524076679083
7,350,2.6747237409425417,0.8551587008977521
8,400,2.61848847334087,0.6515614138842527
9,450,2.7150930255860186,0.42972382641685014
10,500,2.8383616029140404,0.9171036948655947
11,550,3.083234874150131,1.0595565434251466
12,600,3.4873627083939573,1.5450130538477558
13,650,3.304127439251751,2.0980772835554657
14,700,3.4238621029148493,1.8652831674683095
15,750,3.2777806562034257,1.637394692756201
16,800,3.0393423679958134,1.5190884831828293
17,850,2.544971109139069,1.003294005477951
18,900,2.54494200636117,1.332527411295982
19,950,2.672659564477422,1.422594889636282
20,1000,2.530284267885005,2.117792496861902
21,1050,2.532558964314223,2.2866111125251627
22,1100,2.2806054165557503,2.348053060202306
23,1150,2.4382041403183994,2.4218099570443044
24,1200,2.2742591574985687,2.650627454523077
25,1250,2.1145455853711517,2.1059493470384187
26,1300,1.8800685542228348,1.4955765087049566
27,1350,1.77370514598135,1.5035486169256715
28,1400,1.7216716092083766,1.649550269043574
29,1450,1.5602946480132838,1.462994928781783
30,1500,1.3535099923639098,1.4117842455091527
31,1550,1.431730549995739,1.220947992720315
32,1600,1.030450555376379,0.6619411276835762
33,1650,1.1123462481805928,0.8092058656545743
34,1700,1.3690559880511648,1.3649931743745385
35,1750,1.9758790032991709,1.2661065616857905
36,1800,2.397814840623321,1.4450549089904356
37,1850,2.5170485074023015,1.6613761473725108
38,1900,2.5726407637322017,2.0762124678779785
39,1950,2.519957091368448,2.3431650107298903
40,2000,2.230984268480697,2.687749906375694
41,2050,1.7706318642296386,3.1190039226081256
42,2100,1.219933014789787,3.3121929226588076
43,2150,0.8195418781169378,3.1643161529989943
44,2200,0.9010576957722387,3.042999368119422
45,2250,1.1668883595243804,2.727911184222147
46,2300,1.5097283982800271,2.4506925372145596
47,2350,1.9597705153999998,2.6937508200031095
48,2400,2.157622285576992,3.1991970910840064
49,2450,2.206857567813346,3.2087113203539537
50,2500,2.1664698625589582,3.2291532718648552
51,2550,2.1872445223215258,3.254530984134612
52,2600,2.3895582793656867,3.3363925241023327
53,2650,2.31521792251548,3.3524834410726068
54,2700,2.346226605271607,3.260240208970763
55,2750,2.2679913897641533,3.526500045599078
56,2800,2.2957240251894433,3.8938670688056494
57,2850,2.7023399845046994,4.664239498241606
58,2900,3.0158154812756455,4.823015302133224
59,2950,3.316925092080009,5.000779519447538
60,3000,3.4992873330097014,4.512928601296627
61,3050,3.5653272614355798,4.053123989189358
62,3100,3.581497835668024,4.096317705605411
63,3150,3.476671574718494,3.6680073938243636
64,3200,3.328903372603065,3.434803489226839
65,3250,3.651178054961549,2.8422209469487174
66,3300,3.895002678541927,2.3547030527088237
67,3350,3.978537908427915,2.6547067921619125
68,3400,4.175382248065376,2.9497166419351477
69,3450,4.080762623313888,3.4465069727591207
70,3500,3.569447351710482,4.344825461090468
71,3550,2.7285117268800203,4.587085456796274
72,3600,2.631652357323583,4.82548290336188
73,3650,2.5349351245422533,4.9842556620130996
74,3700,2.457172909541765,4.931556608863392
75,3750,2.584997329416723,4.594798485695997
76,3800,2.9127078707351153,4.505451001188659
77,3850,3.308681207206095,4.876078613105124
78,3900,3.4258066924825283,5.461512265877363
79,3950,3.3979738640162287,5.06181210133639
80,4000,3.306015334980408,4.845004361835341
81,4050,3.4962732201414854,4.270647742608224
82,4100,3.7842613780722454,4.345018381953888
83,4150,3.731451611434482,5.381076917316981
84,4200,3.810701269615383,5.850291822125305
85,4250,3.737174698992279,5.775696840213128
86,4300,3.3908637404724487,5.228944437989706
87,4350,3.5421239310324584,4.961263626260769
88,4400,3.4492559425774734,4.785393202250623
89,4450,3.0409052603188194,4.2806265995578014
90,4500,3.18955489210443,4.235275286559029
91,4550,3.40024935691926,4.301955091442256
92,4600,3.547324816089318,4.738032361208281
93,4650,3.29316431611254,4.608283227039376
94,4700,3.6105272005920175,4.5720383633463095
95,4750,3.7429350665696006,4.549345181568988
96,4800,3.5674468556737873,4.285284953494324
97,4850,3.5719766404917497,3.788329923195848
98,4900,3.8916531853575695,3.305847813654648
99,4950,4.16216161991463,3.365028741908385
100,5000,4.7665429641022925,3.3849212616107383
101,5050,5.3726146126780545,3.7418636498516644
102,5100,5.641510138178781,3.540509588077268
103,5150,6.247887893809866,3.2043396229837127
104,5200,6.334163759634252,3.150698760453824
105,5250,6.126984776129226,3.1256623405439767
106,5300,5.808075126025352,2.8207881599457574
107,5350,5.950829491936594,2.1133546147274163
108,5400,5.832727922526942,1.1838646975819929
109,5450,5.904268750151513,1.10307043372356
110,5500,5.664087924391098,1.3630804530068725
111,5550,5.014075481519833,1.6162540017642224
112,5600,4.756087621588591,1.674872065321184
113,5650,4.426161213198223,1.555973837708031
114,5700,4.827848078955029,1.068567831702402
115,5750,4.866995754841438,1.1709859376186866
116,5800,4.9315878955838315,1.5561600829282858
117,5850,5.158666009199442,1.9482751875338822
118,5900,5.412201191801164,3.0422731618378576
119,5950,5.030640717282936,3.2206290828131294
120,6000,4.837522942388212,2.9188823215736024
121,6050,4.908641591023423,2.484917389158923
122,6100,4.651660832505538,2.348945669275259
123,6150,4.4480767114316615,1.511489543704437
124,6200,4.184606003631836,1.1250819455783532
125,6250,4.169365269624093,1.1574195891572747
126,6300,4.128714468813876,1.2364993695480546
127,6350,3.6825419286111716,0.8261358762153851
128,6400,3.210858944437915,0.763933531257245
129,6450,2.773394127752073,0.0837254448099803
130,6500,2.4626738703033015,0.08037036153932492
131,6550,2.2480564565046883,0.12053902822563677
132,6600,2.6166332411274276,-0.0158422220499333
133,6650,3.0300057797647915,-0.5000608198181947
134,6700,2.9810516212079365,-0.6565528544249997
135,6750,3.172443469516012,-1.4211748306980927
136,6800,3.0950337697914665,-2.135891233928924
137,6850,3.5336864750532144,-2.55033261393302
138,6900,3.986281835710869,-2.6417815168063217
139,6950,4.349228638477836,-2.2010821521230217
140,7000,4.784815746665183,-1.8610948497548097
141,7050,4.998588156329501,-1.7443736037863948
142,7100,4.957785308875799,-1.0471535671698793
143,7150,4.860057956605973,-0.3542863583836815
144,7200,5.054247192358353,-0.2513843518115996
145,7250,5.447369481712212,-1.2427131120491528
146,7300,5.422738910281745,-1.5606105196471187
147,7350,5.431969787492259,-1.5283850790160096
148,7400,5.146289449925212,-1.9627958941131514
149,7450,4.741648145937635,-2.565184727125378
150,7500,4.234961733539014,-2.194104700916312
151,7550,3.6300830590998663,-1.6363299649945382
152,7600,3.5310179322227335,-1.2387662202121708
153,7650,3.2377216348500677,-1.4774095556441256
154,7700,3.358204626490409,-2.5423057253835326
155,7750,3.3051022376459835,-4.0612052836210255
156,7800,3.4102185725621577,-4.533887695308937
157,7850,3.2251927489944063,-5.05358816183046
158,7900,3.3376637648335334,-5.288164139160974
159,7950,2.844873720739527,-4.608986759037444
160,8000,2.3604497016414037,-4.097284358846567
161,8050,2.222266266789044,-2.959335099462778
162,8100,2.003704347575385,-1.5912993621134963
163,8150,2.2884159307127634,-0.44184476670469
164,8200,2.470766896831192,0.15036046674354903
165,8250,2.366468575563524,0.4624438387314268
166,8300,2.3696877078984544,0.5254681440027982
167,8350,2.5356133675458685,0.6124201198842258
168,8400,3.0179743369164163,-0.006341687970867199
169,8450,2.6070326132360666,-0.6131478519720958
170,8500,2.3074245363762387,-0.6217019244494187
171,8550,2.4511237786525557,-0.8135059640525433
172,8600,2.7336233543777126,-0.666894527785493
173,8650,3.046459643888608,-0.3348195100764107
174,8700,2.6560061392771264,-0.244879785774843
175,8750,2.4396727072948097,-0.5315160125249773
176,8800,2.4130202726817287,-0.2902191514061218
177,8850,2.55376601043188,-0.809025143441751
178,8900,2.4489355132508366,-1.479650852823924
179,8950,2.275719016338437,-2.192385771995705
180,9000,2.033923590000641,-2.44164557387432
181,9050,1.565522196808099,-2.3441415769532035
182,9100,0.8005838031151182,-2.30243806702864
183,9150,0.6619924197720792,-3.360695397790326
184,9200,0.3486817628297651,-4.603193082158528
185,9250,0.08654695757588234,-4.404943939513834
186,9300,-0.004504242517885201,-3.8154603721066027
187,9350,0.08891291081718124,-3.4008324858453918
188,9400,0.18879235345717213,-3.609889415232896
189,9450,0.4865756818967588,-3.9388766082165994
190,9500,0.6811269390030955,-4.287081598363224
191,9550,0.7209777071539475,-4.8946966143408135
192,9600,1.0196406257692359,-5.277295687117105
193,9650,1.0508949056471824,-5.365636059628337
194,9700,1.8265402935128459,-4.682273963988641
195,9750,2.7565219851108202,-3.7012639257510203
196,9800,2.93506361504699,-2.800728935596205
197,9850,3.1723219513111345,-2.022415957413739
198,9900,3.2779297492663506,-1.6405469276098925
199,9950,3.0170857641879434,-1.2947718296753794
200,10000,2.729357480941659,-0.7222593321778727
201,10050,3.174471563602117,-0.32525052902825646
202,10100,3.9103056118082478,0.3006221609826241
203,10150,3.8754733030042305,0.9017434326747177
204,10200,4.360307325005034,1.5929062770389122
205,10250,5.183954385464705,1.827628973625377
206,10300,5.532372568649149,2.0198583429759163
207,10350,5.826356262652853,1.1060595280854095
